eng,thai
you,คุณ
i,ผม
the,ที่
to,ถึง
a,อัน
it,มัน
and,และ
that,นั่น
of,ของ
is,เป็น
in,ใน
what,อะไร
we,เรา
me,ฉัน
this,นี้
he,เขา
for,สำหรับ
my,ของฉัน
on,บน
have,มี
your,ของคุณ
do,ทำ
was,เคยเป็น
no,ไม่
not,ไม่
be,เป็น
are,เป็น
don,สวมใส่
re,อีกครั้ง
know,รู้
can,สามารถ
with,กับ
but,แต่
all,ทั้งหมด
so,ดังนั้น
just,แค่
there,ที่นั่น
here,ที่นี่
they,พวกเขา
like,ชอบ
will,จะ
get,รับ
she,เธอ
go,ไป
if,ถ้า
right,ขวา
out,ออก
about,เกี่ยวกับ
up,ขึ้น
at,ที่
him,เขา
now,ตอนนี้
oh,โอ้
one,หนึ่ง
come,มา
well,ดี
her,ของเธอ
how,อย่างไร
yeah,ใช่
ve,เครื่อง
got,ได้
want,ต้องการ
think,คิด
as,เช่น
see,ดู
did,ทำ
good,ดี
who,ใคร
why,ทำไม
from,จาก
let,อนุญาต
his,ของเขา
yes,ใช่
when,เมื่อไร
going,กำลังไป
time,เวลา
an,หนึ่ง
okay,ตกลง
back,กลับ
look,ดู
us,เรา
would,จะ
them,พวกเขา
where,ที่ไหน
were,คือ
take,เอา
then,แล้ว
had,มี
or,หรือ
been,เคย
our,ของเรา
gonna,จะ
tell,บอก
really,จริงๆ
man,ชาย
some,บาง
say,พูด
hey,เฮ้
could,สามารถ
didn,ไม่ได้
by,โดย
need,ความต้องการ
something,บางสิ่งบางอย่าง
has,มี
too,ด้วย
more,มากกว่า
way,ทาง
down,ลง
make,ทำ
very,มาก
never,ไม่เคย
only,เท่านั้น
people,ผู้คน
over,เกิน
because,เพราะ
little,เล็กน้อย
please,โปรด
love,รัก
should,ควร
mean,หมายถึง
said,กล่าวว่า
sorry,ขอโทษ
give,ให้
off,ปิด
am,เป็น
thank,ขอบคุณ
any,ใดๆ
two,สอง
even,สม่ำเสมอ
much,มาก
doing,ทำ
sure,แน่นอน
thing,สิ่ง
these,เหล่านี้
help,ช่วย
first,แรก
into,เข้าไปข้างใน
anything,อะไรก็ตาม
still,นิ่ง
find,หา
life,ชีวิต
nothing,ไม่มีอะไร
sir,ท่าน
day,วัน
god,พระเจ้า
work,งาน
their,ของพวกเขา
uh,เอ่อ
again,อีกครั้ง
maybe,อาจจะ
must,ต้อง
before,ก่อน
other,อื่นๆ
wait,รอ
stop,หยุด
call,เรียก
after,หลังจาก
won,วอน
talk,พูดคุย
away,ห่างออกไป
than,กว่า
thought,คิด
home,บ้าน
night,กลางคืน
put,ใส่
great,ยอดเยี่ยม
those,เหล่านั้น
last,ล่าสุด
better,ดีกว่า
everything,ทุกอย่าง
told,บอก
mr.,นาย.
new,ใหม่
things,สิ่งของ
always,เสมอ
keep,เก็บไว้
long,ยาว
years,ปี
leave,ออกจาก
does,ทำ
money,เงิน
around,รอบๆ
doesn,ไม่ได้
name,ชื่อ
place,สถานที่
ever,เคย
feel,รู้สึก
guys,พวก
father,พ่อ
guy,ผู้ชาย
made,ทำ
old,เก่า
which,ที่
big,ใหญ่
lot,มาก
done,เสร็จแล้ว
hello,สวัสดี
nice,ดี
believe,เชื่อ
girl,สาว
someone,บางคน
fine,ก็ได้
thanks,ขอบใจ
wanted,ต้องการ
kind,ใจดี
coming,มา
house,บ้าน
every,ทั้งหมด
ok,ตกลง
through,ผ่าน
being,สิ่งมีชีวิต
course,คอร์ส
stay,อยู่
left,ซ้าย
dad,พ่อ
enough,เพียงพอ
happened,เกิดขึ้น
came,มา
may,พฤษภาคม
mother,แม่
wrong,ผิด
world,โลก
bad,แย่
might,อาจ
three,สาม
today,วันนี้
listen,ฟัง
another,อื่น
understand,เข้าใจ
hear,ได้ยิน
remember,จดจำ
ask,ถาม
own,เป็นเจ้าของ
same,เดียวกัน
show,แสดง
else,อื่น
kill,ฆ่า
talking,การพูด
found,พบ
next,ต่อไป
getting,ได้รับ
care,การดูแล
car,รถยนต์
looking,มอง
son,ลูกชาย
try,ลอง
woman,ผู้หญิง
went,ไป
hi,สวัสดี
dead,ตาย
many,มากมาย
mind,จิตใจ
wasn,ไม่ได้
friend,เพื่อน
best,ดีที่สุด
mom,แม่
hell,นรก
morning,เช้า
trying,การพยายาม
boy,เด็กผู้ชาย
together,ด้วยกัน
yourself,ตัวคุณเอง
job,งาน
saw,เลื่อย
family,ตระกูล
real,จริง
without,ปราศจาก
baby,ที่รัก
room,ห้อง
wouldn,จะไม่
already,แล้ว
